objname,ra,dec,distance,distance_err
And XVII,9.27916667,44.32222222,0.74,0.044
UGC05364,149.8600005,30.7463889,0.74,0.044
And III,8.89083333,36.49777778,0.75,0.044
And XV,18.57791667,38.1175,0.76,0.045
And XXVI,5.94,47.91611111,0.76,0.045
IC1613,16.199166,2.1177314,0.76,0.045
Lac I,344.5679167,41.29111111,0.76,0.045
NGC0147,8.3004165,48.5088889,0.76,0.045
NGC0224,10.6846845,41.2689778,0.77,0.045
Cas III,8.9975,51.55972222,0.78,0.046
PAndAS-01,359.3,43.55222222,0.78,0.046
PAndAS-02,359.4816667,41.78027778,0.78,0.046
PAndAS-03,0.985,40.88861111,0.78,0.046
PAndAS-04,1.17875,47.36166667,0.78,0.046
PAndAS-05,1.35041667,43.92638889,0.78,0.046
PAndAS-50,15.46083333,48.30527778,0.78,0.046
PAndAS-55,19.835,46.05333333,0.78,0.046
PAndAS-56,20.76458333,41.91972222,0.78,0.046
PAndAS-57,21.94791667,40.67972222,0.78,0.046
PAndAS-58,22.25875,40.78555556,0.78,0.046
PAndAS-C02,16.97458333,48.37833333,0.78,0.046
And IX,13.22,43.2,0.79,0.047
And XXII,21.91666667,28.09027778,0.79,0.047
IC0010,5.10208333,59.29166667,0.79,0.047
NGC0221,10.6741035,40.8651653,0.79,0.047
PGC3097691,6.5452485,-11.0472805,0.79,0.047
Perseus I,45.34833333,40.98833333,0.79,0.047
And XX,1.87791667,35.13222222,0.8,0.047
NGC0205,10.092075,41.6853283,0.8,0.047
ANDROMEDA05,17.571111,47.6287963,0.81,0.048
And XXV,7.53708333,46.85194444,0.81,0.048
ANDROMEDA06,357.9441585,24.5835137,0.82,0.048
PAndAS-48,14.8675,31.48611111,0.82,0.048
PGC2807155,351.631203,50.6811355,0.82,0.048
And XII,11.8625,34.37472222,0.83,0.049
And XXVII,9.36291667,45.38694444,0.83,0.049
And XIII,12.9625,33.00444444,0.84,0.049
And XXI,358.69875,42.47083333,0.86,0.051
And XIX,4.88375,35.04361111,0.93,0.055
NGC0598,23.462121,30.6599252,0.93,0.055
Pegasus,352.1420833,14.74666667,0.97,0.057
PGC000143,0.492408,-15.4608968,0.98,0.058
PGC065367,311.7155715,-12.8476683,0.98,0.058
UGC12613,352.150842,14.7428937,1.07,0.05
ESO594-004,292.495875,-17.6790001,1.08,0.064
SDSSJ033459.78-004954.1,53.74918287,-0.83171054,1.122,4.398
[RC2]A0113+33,19.111167,33.4306517,1.136,4.586
ANTLIAB,147.233667,-25.99,1.29,0.076
And XVIII,0.56041667,45.08888889,1.31,0.077
NGC3109,150.7786515,-26.1594858,1.34,0.079
PGC029194,151.0164945,-27.3320023,1.37,0.081
UGC04879,139.01325,52.842028,1.37,0.081
UGC05373,150.0001515,5.3322409,1.43,0.084
PGC029653,152.7532995,-4.6928213,1.45,0.085
HIJ102145.0+180501,155.4366675,18.088889,1.73,0.102
SDSSJ164816.54+641322.3,252.0688832,64.22214514,1.879,5.851
PGC2801026,243.4487505,54.370833,1.91,0.113
ESO410-005,3.880113,-32.1804986,1.93,0.114
UGC05076,143.1494895,51.87253,2.174,6.749
UGC08091,194.66751,14.2173144,2.19,0.129
PGC166185,211.7935545,35.0610076,2.21,0.13
ESO407-018,351.6160785,-32.3885812,2.22,0.131
ESO468-020,340.182438,-30.7994747,2.24,0.132
SDSSJ124011.34+095051.5,190.0472088,9.84760394,2.289,5.893
UGC09128,213.985416,23.0555556,2.3,0.136
PGC2807157,356.393319,38.7178411,2.58,0.152
PGC2807150,208.639395,4.2444378,2.61,0.154
UGC07577,186.922548,43.4957365,2.61,0.154
UGC06817,177.720762,38.8804074,2.65,0.156
UGC08508,202.6849995,54.9113889,2.67,0.157
PGC5059199,186.04125,26.23111111,2.7,0.159
NGC4190,183.435372,36.6332488,2.83,0.167
UGC09240,216.181452,44.5259117,2.83,0.167
NGC4214,183.9142905,36.326393,2.88,0.17
KDG090,183.74125,36.21888889,2.98,0.176
NGC0404,17.3624895,35.7178895,2.98,0.176
PGC014241,59.9604165,67.1436111,2.98,0.14
UGCA086,59.95625,67.12527778,2.98,0.176
NGC1560,68.2045005,71.8830833,2.99,0.176
NGC4163,183.0378555,36.1685034,2.99,0.176
UGC07949,191.749572,36.4763369,3.01,0.177
[CKT2009]d0934+70,143.5154167,70.21583333,3.02,0.178
UGC08651,204.9742515,40.7391401,3.1,0.183
KKH22,56.23583333,72.06444444,3.12,0.184
Scl-MM-Dw2,12.57125,-24.74972222,3.12,0.184
KK35,56.3025,67.86388889,3.16,0.186
BTS116,184.73875,28.55305556,3.18,0.187
NGC1569,67.704936,64.848155,3.19,0.188
NGC2403,114.2142375,65.6024203,3.19,0.188
ESO349-031,2.0563215,-34.5787254,3.21,0.189
PGC021302,113.547516,66.8839907,3.21,0.189
NGC3741,174.0248055,45.2853281,3.22,0.19
PGC015439,68.014584,63.6161111,3.22,0.19
UGC08833,208.7020995,35.8376896,3.25,0.191
IC0342,56.7021255,68.0960926,3.28,0.193
NGC2366,112.2252765,69.214964,3.28,0.193
BK6N,158.6329167,66.01166667,3.31,0.195
DoI,17.91833333,34.60083333,3.31,0.195
UGC08760,207.713157,38.0211092,3.31,0.195
MADCASH J0742+65dw,115.6620833,65.41722222,3.39,0.2
PGC016957,78.5605635,62.5806322,3.39,0.2
[CKT2009]d0926+70,141.61625,70.50666667,3.4,0.2
PGC023521,125.9813385,71.0308248,3.42,0.202
ESO540-031,12.4570575,-21.0130159,3.44,0.203
NGC5253,204.983298,-31.640036,3.44,0.203
PGC095597,101.940564,80.123945,3.44,0.203
[CKT2009]d0955+70,148.8066667,70.40805556,3.45,0.203
UGC04305,124.768125,70.7216741,3.47,0.204
[CKT2009]D0944+71,146.143209,71.4821111,3.47,0.204
ESO379-024,181.23625,-35.74305556,3.48,0.205
PGC030664,156.615771,67.6569644,3.48,0.205
PGC166084,73.279992,67.0995006,3.5,0.206
NGC6789,289.1733165,63.97219,3.55,0.209
ESO540-030,12.3380085,-18.0752968,3.56,0.21
PGC166082,66.317916,72.8058333,3.56,0.21
PGC4074723,190.1245833,47.36777778,3.56,0.21
UGC04483,129.2641665,69.7763889,3.58,0.211
ClumpI,149.3383333,68.71527778,3.6,0.212
ClumpIII,150.1683333,68.66027778,3.6,0.212
PGC704814,359.6695833,-31.4675,3.6,0.212
NGC3034,148.968012,69.6797719,3.61,0.213
[CKT2009]d1006+67,151.6925,67.20111111,3.61,0.213
ESO540-032,12.602349,-19.9064443,3.63,0.214
NGC7793,359.457591,-32.5910738,3.63,0.214
PGC1059300,195.000918,-4.3606495,3.65,0.215
UGC05428,151.2798645,66.5590485,3.65,0.215
[CKT2009]d0939+71,144.81625,71.31166667,3.65,0.215
NGC2976,146.8146105,67.9162633,3.66,0.216
PGC028731,149.261883,68.5929234,3.66,0.216
KKH57,150.0666667,63.185,3.68,0.217
UGC04459,128.527083,66.18,3.68,0.217
BK5N,151.1679167,68.25555556,3.7,0.218
HIJASS J1021+6842,155.2508333,68.7,3.7,0.218
JKB83,148.9566667,69.3325,3.7,0.218
KDG61em,149.28125,68.59833333,3.7,0.218
LV J0055-2310,13.75416667,-23.16916667,3.7,0.218
NGC0253,11.8879665,-25.2884419,3.7,0.218
NGC3031,148.8881565,69.0652757,3.7,0.218
[CKT2009]d1041+70,160.32,70.15083333,3.7,0.218
NGC0247,11.7857175,-20.7604499,3.72,0.219
UGC05497,153.2000925,64.1076973,3.73,0.22
d1009+68,152.3095833,68.75694444,3.73,0.22
AGC239141,199.42,35.46638889,3.75,0.221
IKN,152.024775,68.3992608,3.75,0.221
PGC3097827,146.1962505,67.438611,3.75,0.221
UGC05442,151.7576115,67.8275387,3.75,0.221
[KK2000] 54,200.385,-31.88638889,3.75,0.221
FM1,146.2916667,68.765,3.78,0.223
SDSSJ131347.30+100311.1,198.447213,10.053096,3.78,0.223
KK77,147.5416667,67.50666667,3.8,0.224
PGC028826,149.703084,66.8492611,3.82,0.225
PGC029167,150.92946,68.692421,3.82,0.225
[CKT2009]D1028+70,157.166583,70.2332889,3.84,0.226
[CKT2009]d0944+69,146.09375,69.21111111,3.84,0.226
[CKT2009]d1014+68,153.7325,68.7575,3.84,0.226
NGC3077,150.828609,68.7341103,3.85,0.227
PGC042275,189.666666,32.7669444,3.85,0.227
UGC05336,149.383188,69.0459613,3.85,0.227
PGC032667,163.2299475,69.5460772,3.91,0.23
IC2574,157.097919,68.4120945,3.93,0.232
PGC028759,149.3783505,69.2777057,3.93,0.232
PGC046257,199.270236,37.9524396,3.93,0.232
UGC05692,157.6450005,70.6213889,3.93,0.232
Scl-MM-Dw1,11.89541667,-26.38888889,3.94,0.232
[HS98]117,155.354967,71.1161496,3.96,0.233
d1005+68,151.3825,68.23888889,3.98,0.235
ScuSR,8.46583333,-27.84,4,0.236
UGC05139,145.1345595,71.1833033,4.02,0.237
NGC4789A,193.522764,27.1505266,4.04,0.238
[CKT2009]d1015+69,153.77875,69.0375,4.07,0.24
[KKH2007]J1228+4358,187.183803,43.9733939,4.07,0.24
dw1255+40,193.7583333,40.59,4.1,0.242
PGC028529,148.4526945,68.9691375,4.17,0.246
UGC07298,184.125699,52.227996,4.19,0.247
UGC06541,173.370222,49.2381425,4.23,0.249
UGC08308,198.344583,46.3202778,4.25,0.25
UGC08320,198.616224,45.9203416,4.25,0.25
NGC4449,187.0462605,44.093628,4.27,0.252
[CKT2009]D0959+68,149.895417,68.6571611,4.27,0.252
Sc22,5.96541667,-24.705,4.29,0.253
UGC08638,204.830505,24.7743584,4.29,0.253
NGC3485,165.0099585,14.8415278,4.301,7.665
NGC4244,184.3727955,37.8077928,4.31,0.254
UGC01703,33.22965,32.813702,4.31,0.254
DDO169NW,198.83,47.53833333,4.33,0.255
PGC166142,190.9890915,43.6615598,4.33,0.255
d1006+69,151.73125,69.90472222,4.33,0.255
IC4182,196.455276,37.6046589,4.35,0.256
IC4316,205.076145,-28.8941873,4.35,0.256
ESO471-006,355.9430925,-31.956949,4.37,0.257
KK166,192.3054167,35.6125,4.39,0.259
NGC4068,181.008213,52.5891256,4.39,0.259
PGC086645,196.1257275,17.7593419,4.4,0.259
NGC4236,184.1754435,69.4626085,4.41,0.26
NGC4736,192.721248,41.1203028,4.41,0.26
NGC4826,194.1820095,21.6821044,4.41,0.26
PGC725719,200.7368475,-29.7385151,4.41,0.26
UGC08331,198.874023,47.4996337,4.41,0.26
ESO384-016,209.255724,-35.3329835,4.49,0.265
KKH30,79.425,81.62416667,4.5,0.265
N2146sat,96.055,77.96472222,4.5,0.265
NGC5238,203.6770995,51.6136779,4.51,0.266
PGC166115,176.7979515,43.6718273,4.51,0.266
PGC677373,204.2510385,-33.3625152,4.55,0.268
PGC042902,191.106522,3.5251757,4.56,5.02
IC3687,190.5629715,38.5027002,4.57,0.269
UGC08215,197.0148705,46.8279656,4.57,0.269
NGC5204,202.4023995,58.420383,4.59,0.27
UGC07596,187.1413575,8.6396393,4.6,0.917
ESO444-084,204.3342555,-28.0447855,4.61,0.272
PGC039228,183.9442305,52.3872349,4.61,0.272
UGC06757,176.746461,61.3350085,4.61,0.272
UGC06456,171.99858,78.993902,4.63,0.273
KKH78,184.4354167,33.34527778,4.7,0.277
M94-Dw2,192.7683333,41.63611111,4.7,0.277
UGC07599,187.117059,37.2348128,4.72,0.278
UGC08245,197.151027,78.937302,4.72,0.278
UGC07929,191.3361,21.4272003,4.732,5.604
UGC07605,187.161273,35.717594,4.74,0.279
NGC4395,186.453741,33.5467883,4.76,0.28
PGC046885,201.15021,-30.9718378,4.76,0.28
M59UCD3,190.546044,11.6447996,4.773,5.228
NGC5264,205.403073,-29.9127323,4.79,0.282
PGC2807110,45.7743135,33.6942476,4.79,0.282
UGC00685,16.8434055,16.6839553,4.81,0.283
[KKH2007]J1243+4127,190.979964,41.456878,4.81,0.283
KK177,195.6745833,21.9975,4.83,0.285
PGC044055,193.920213,19.2101803,4.83,0.285
UGC08201,196.603824,67.7069306,4.83,0.285
PGC038685,182.4849165,36.4350159,4.85,0.286
UGC07698,188.227251,31.5415492,4.88,0.288
AM1320-230,200.8745833,-23.39305556,4.9,0.289
KK198,200.73375,-33.57277778,4.9,0.289
NGC0059,3.8547,-21.4444603,4.9,0.289
NGC5236,204.2539005,-29.8656261,4.9,0.289
PGC170257,202.337538,-21.179235,4.9,0.289
dw1301-30,195.3666667,-30.11194444,4.9,0.289
dw1306-29,196.7,-29.89166667,4.9,0.289
dw1314-28,198.5083333,-28.20333333,4.9,0.289
dw1318-21,199.5166667,-21.885,4.9,0.289
dw1321-27,200.2833333,-27.74888889,4.9,0.289
dw1322-27,200.525,-27.57916667,4.9,0.289
dw1325-33,201.4208333,-33.00694444,4.9,0.289
dw1326-29,201.5166667,-29.40444444,4.9,0.289
dw1326-35,201.6833333,-35.08333333,4.9,0.289
dw1328-29,202.05,-29.47916667,4.9,0.289
dw1329-32,202.4916667,-32.49611111,4.9,0.289
dw1330-32,202.725,-32.30583333,4.9,0.289
dw1330-33,202.5166667,-33.835,4.9,0.289
dw1330-34,202.5083333,-34.00388889,4.9,0.289
dw1336-32,204.1375,-32.30138889,4.9,0.289
dw1337-26,204.3041667,-26.80277778,4.9,0.289
dw1337-33,204.2583333,-33.52361111,4.9,0.289
dw1341-33,205.3041667,-33.825,4.9,0.289
dw1343-34,205.9541667,-34.93527778,4.9,0.289
dw1357-28,209.25,-28.92083333,4.9,0.289
dw1401-32,210.3541667,-32.62944444,4.9,0.289
dw1403-33,210.825,-33.40388889,4.9,0.289
dw1406-29,211.6708333,-29.13611111,4.9,0.289
dw1409-33,212.2625,-33.82777778,4.9,0.289
dw1410-34,212.6958333,-34.86861111,4.9,0.289
dw1413-34,213.2833333,-34.3925,4.9,0.289
dw1415-32,213.9208333,-32.5725,4.9,0.289
PGC135794,183.527754,1.6611999,4.911,5.386
IC1574,10.765236,-22.2475644,4.92,0.29
KK218,206.6645833,-29.97916667,4.94,0.291
UGC07559,186.771576,37.1427793,4.97,0.293
AF7448_001,344.8970833,16.76972222,5,0.997
PGC166114,175.014063,46.4803153,5,0.295
PGC1488625,179.6682435,15.592769,5.01,0.295
PGC166065,30.042042,28.8311692,5.01,0.295
PGC166170,204.14781,-29.5713447,5.01,0.295
dw1335-29,203.9416667,-29.70666667,5.01,0.295
dw1340-30,205.0791667,-30.35972222,5.06,0.298
PGC1726175,203.1264045,25.123411,5.08,0.299
PGC3272767,193.31985,-5.3035,5.08,0.299
HIPASS J0630+08,97.53833333,8.35444444,5.13,0.302
NGC5068,199.728666,-21.0390236,5.15,0.303
PGC039646,184.8148275,6.2939011,5.15,1.026
UGC07983,192.4459065,3.8423814,5.15,0.303
IC4247,201.68514,-30.3625855,5.18,0.305
PGC2807103,23.7147885,52.0917218,5.18,0.305
UGC07636,187.5025005,7.9294,5.2,1.036
PGC166163,200.2844775,-31.5292088,5.22,0.308
PGC100169,31.5225,69.0033333,5.27,0.311
UGC01281,27.381666,32.5888889,5.27,0.311
NGC3738,173.9533335,54.5244444,5.3,0.312
PGC041259,187.508334,9.474,5.302,5.397
NGC0784,30.320541,28.83725,5.37,0.316
ESO444-078,204.128643,-29.2352641,5.42,0.319
PGC2448110,211.2408333,53.69138889,5.42,0.319
PGC2807102,16.885257,51.4404512,5.42,0.319
SDSSJ115504.20+282052.3,178.7675565,28.3478922,5.42,0.319
ESO379-007,178.680138,-33.5589695,5.45,0.321
ESO381-018,191.1771735,-35.9666565,5.45,0.321
UGC07242,183.5350275,66.0946866,5.45,0.321
ESO381-020,191.501643,-33.8381248,5.47,0.322
MB3,43.93166667,58.86166667,5.47,0.322
SDSSJ120633.49+303715.0,181.639674,30.6208989,5.47,0.322
KKH11,36.14583333,56.01166667,5.48,0.323
SDSSJ111921.39+140431.6,169.83933,14.0755008,5.514,7.218
IC3414,187.369893,6.7715216,5.549,5.342
NGC4605,189.997218,61.6091583,5.55,0.327
KKH12,36.8625,57.48777778,5.57,0.328
Maffei1,39.14791667,59.655,5.6,0.33
PGC683190,173.295636,-32.962481,5.6,0.33
AGC749241,190.0070145,26.3220077,5.62,0.331
PGC166064,28.834329,27.9537726,5.62,0.331
NGC4765,193.310358,4.4633294,5.65,1.126
PISCESA,3.691791,10.8130667,5.65,0.333
NGC5585,214.95081,56.7293892,5.7,0.336
PGC040665,186.5676285,48.4938563,5.7,0.336
Maffei2,40.47708333,59.60305556,5.73,0.338
PGC044982,195.5598045,-17.2376852,5.75,0.339
HIZSS021,116.56875,-28.46972222,5.78,0.341
UGC09405,218.850405,57.2559507,5.81,0.342
UGC02905,59.2511205,16.5230541,5.83,0.344
PGC3287913,171.5034,1.6767,5.84,6.767
PGC1528400,177.2731455,17.2556824,5.86,0.345
PGC091215,189.228966,1.6150137,5.91,5.271
ESO443-009,193.7231805,-28.3408216,5.97,0.352
PGC086644,192.941493,21.7339085,5.97,0.352
AGC227897,192.5176635,6.8474057,5.983,5.066
Dw2,43.53541667,59.00527778,6,0.354
KDG216,194.1041667,15.08583333,6,0.354
PGC166137,186.370584,28.4845833,6,0.354
UGC07457,185.790546,29.3497315,6,0.354
PGC045084,195.8200785,-17.4230164,6.03,0.355
KK135,184.8945833,58.04277778,6.05,0.356
NGC5023,198.048858,44.0377017,6.05,0.356
AGC112521,25.28291667,27.32388889,6.08,0.358
PGC680341,355.4479167,-33.14472222,6.08,0.358
PGC042134,189.3408555,38.7437874,6.14,0.362
PGC086635,187.0210995,22.2910995,6.14,0.362
PGC3097700,156.117849,-12.4325234,6.21,1.238
AGC748778,1.64333333,15.51083333,6.22,0.366
Dw1,44.23375,58.91166667,6.25,0.368
KK242,268.2016665,70.1373333,6.25,0.368
NGC6503,267.360459,70.1443333,6.25,0.368
PGC040749,186.7194675,53.1053588,6.28,0.37
KK138,185.4933333,28.24277778,6.3,0.371
UGC07857,190.4761095,13.7729252,6.301,0.581
ESO489-056,96.570792,-26.2656389,6.31,0.372
PGC213976,184.9315545,29.6588449,6.31,0.372
PGC2576103,205.7800815,58.2275821,6.31,1.258
SDSSJ122216.72+305323.5,185.56971,30.8898429,6.31,0.372
SDSSJ124936.90+215505.7,192.4035705,21.918177,6.31,0.372
ESO490-017,99.487755,-26.0001989,6.34,0.374
UGC08055,194.0185995,3.8127999,6.359,5.183
M101-df1,210.9375,53.94444444,6.37,0.375
AGC229379,187.6416645,23.205557,6.4,0.377
PGC1942712,181.643811,31.3429428,6.43,0.379
SDSSJ120531.04+310434.1,181.3792275,31.0762021,6.43,0.379
ESO494-026,121.5461745,-27.5284504,6.46,1.85
PGC3277433,221.9715,-6.2065,6.484,4.467
UGC02684,50.0979705,17.2961321,6.49,0.382
PGC1052160,194.706792,-4.8885,6.5,1.296
UGC02716,51.03,17.75416667,6.5,0.383
M101-df3,210.77375,53.61555556,6.52,0.384
NGC4707,192.0945825,51.1654201,6.52,0.384
PGC1069207,217.546911,-3.5977596,6.556,4.614
PGC2229803,201.971277,43.8153039,6.58,0.388
UGC11411,287.179575,70.2837556,6.58,0.388
SDSSJ113740.79-034214.0,174.420004,-3.70397149,6.605,6.928
NGC4455,187.1837535,22.8208014,6.61,0.389
HIZSS003B,105.1029167,-4.22166667,6.64,0.391
NGC0045,3.5165415,-23.1818333,6.64,0.391
NGC3621,169.568658,-32.8140373,6.64,0.391
PGC2807061,105.12057,-4.2055854,6.64,0.391
PGC3097706,185.523735,-9.8002849,6.64,0.391
SDSSJ120310.85+325722.2,180.795177,32.9561804,6.64,0.391
M101-dwA,211.7091667,53.74222222,6.65,0.392
NGC4136,182.323779,29.9276571,6.67,0.393
PGC1853813,185.319195,29.0391035,6.67,0.393
ESO553-046,81.7739085,-20.6778542,6.7,0.395
HIPASS J1131-31,172.8966667,-31.67222222,6.7,0.395
NGC4688,191.944191,4.3368279,6.7,1.335
PGC2807128,137.152287,5.2910849,6.7,1.335
PGC043205,191.9983995,4.4334002,6.71,1.337
PGC041594,188.149896,33.2235072,6.73,1.341
NGC5477,211.388772,54.4608877,6.76,0.398
PGC017716,86.2587495,5.0691667,6.79,0.4
IC3718,191.189316,12.3516941,6.8,1.355
PGC3097715,193.4243985,-6.0838914,6.8,0.401
UGC00288,7.267233,43.4307987,6.82,0.402
AGC740666,168.8391667,19.24222222,6.85,0.404
ESO461-036,300.984558,-31.6843067,6.85,0.404
LBTJ115205.6+544732.2,178.0232595,54.79229,6.85,0.404
SDSSJ121831.55+300339.9,184.631439,30.0610905,6.85,0.404
AGC227972,192.600063,4.9060975,6.858,5.535
M101-df2,212.15625,54.32527778,6.87,0.405
NGC4144,182.493648,46.4573312,6.89,0.406
HIZOAJ1914+10,288.7604167,10.32861111,6.9,0.407
KKSG17,150.41,-8.24888889,6.92,1.379
PGC041695,188.325942,2.0465508,6.93,5.631
GBT 1355+5439,208.7108333,54.64722222,6.95,0.409
M101Dw7,211.8375,55.06416667,6.95,0.409
NGC5457,210.802368,54.349023,6.95,0.409
dw1355+51,208.7958333,51.90805556,6.95,0.409
dw1412+56,213.0458333,56.14194444,6.95,0.409
dw1416+57,214.2458333,57.91083333,6.95,0.409
dw1446+58,221.75,58.56777778,6.95,0.409
NGC5474,211.256274,53.6622675,6.98,0.411
ESO501-023,158.846577,-24.7541149,7,1.395
PGC041770,188.50605,5.9528434,7.016,5.665
HSC-10,190.6308333,31.96916667,7.05,0.415
HSC-9,190.2208333,32.28222222,7.05,0.415
PGC166062,26.1779025,27.2883026,7.05,0.415
PGC039849,185.183016,14.6311383,7.1,1.415
PGC166135,185.7194745,33.8289478,7.11,0.419
UGC03303,81.247431,4.505206,7.14,0.421
UGC07639,187.4722485,47.5308903,7.14,0.421
ESO558-011,106.7376465,-22.0396409,7.16,0.422
NGC0672,26.97477,27.4319784,7.18,0.423
PGC002544,10.634583,40.5718611,7.18,0.423
PGC038286,181.347111,28.3657503,7.18,1.431
AGC227973,192.6662385,5.3478337,7.186,5.537
N672dwA,26.82958333,27.25444444,7.2,0.424
N672dwB,26.79625,27.68333333,7.2,0.424
PGC042143,189.371076,4.7511242,7.2,1.435
GALFA-DW4,86.4366255,10.771,7.22,1.439
UGC08837,208.6906245,53.9025421,7.24,0.427
PGC044681,194.985339,-19.4119423,7.28,0.429
PGC095594,89.9194125,73.42771,7.28,0.429
UGC07356,184.788321,47.0901846,7.28,0.429
UGC07408,185.313471,45.8119871,7.28,0.429
NGC4627,190.4995545,32.5735905,7.3,0.43
NGC4700,192.283914,-11.4098368,7.3,1.455
PGC042413,190.0417155,32.6587481,7.3,0.43
PGC100707,190.4469375,32.8573648,7.3,0.43
KK132,184.7770833,47.73083333,7.31,0.431
NGC0024,2.4847695,-24.963769,7.31,0.431
MB1,38.89833333,59.37972222,7.35,0.433
NGC4631,190.5326625,32.5425167,7.35,0.433
PGC039873,185.2284915,38.4300084,7.35,0.433
PGC2832120,190.8530025,32.4821389,7.35,0.433
UGC07673,187.9939215,29.7097638,7.35,0.433
BTS132,185.9425,47.65888889,7.4,0.436
ESO483-013,63.171336,-23.1589236,7.4,1.475
NGC 4631dw1,190.2375,32.7925,7.4,0.436
NGC 4631dw2,190.5283333,32.62083333,7.4,0.436
NGC 4631dw3,190.71875,32.45972222,7.4,0.436
NGC4248,184.4578185,47.4091544,7.4,1.475
PGC081181,126.3027165,-28.1415625,7.4,1.475
PGC2807142,173.7225645,11.0195628,7.4,1.475
NGC4448,187.0643985,28.6203152,7.443,6.118
PGC041240,187.4745585,10.3380242,7.448,5.902
IC1727,26.8745535,27.3330062,7.45,0.439
WSRT-CVN13,189.206772,33.6133325,7.45,1.485
NGC2787,139.826811,69.2033065,7.48,0.441
PGC045897,198.245376,41.7855766,7.48,0.441
PGC135809,192.5198055,-0.2325232,7.51,5.489
UGC02773,53.0303295,47.7940585,7.52,0.443
SDSSJ123056.01+263040.2,187.7334645,26.5112405,7.55,1.505
UGC01104,23.177208,18.3170833,7.55,0.445
SDSSJ124931.04+442133.3,192.379323,44.359282,7.59,0.447
PGC039958,185.4298965,37.9867036,7.6,1.515
CVnHI,185.1808333,46.20916667,7.66,0.451
LV J1157+56sat,179.4704167,56.61388889,7.66,0.451
N4258dwB,186.0454167,47.12305556,7.66,0.451
N4258dwC,182.6116667,46.74694444,7.66,0.451
NGC4258,184.7399355,47.3038816,7.66,0.451
NGC4618,190.3869855,41.1509388,7.66,0.451
NGC5195,202.497309,47.2660603,7.66,0.451
[KKH2011]S11,185.1254167,47.49027778,7.66,0.451
UGC03755,108.4652565,10.5212845,7.69,0.453
M106edgeN4217,184.0520833,47.13444444,7.7,0.454
AGC174585,114.0429167,9.98638889,7.73,0.455
EZOA J2120+45,320.1925,45.27277778,7.73,0.455
KKR59,315.8508333,57.28722222,7.73,0.455
KKR60,316.4708333,57.20527778,7.73,0.455
M101Dw9,208.9358333,55.14583333,7.73,0.455
NGC3377A,161.8429905,14.0693825,7.73,0.455
NGC6946,308.7191655,60.1535166,7.73,0.455
PGC166192,307.6358955,60.3540088,7.73,0.455
PGC166193,307.8832995,60.8123555,7.73,0.455
PGC2601822,311.337225,60.4115903,7.73,0.455
